iter	Passed	Remaining
137	14659	67563
138	14745	67361
139	14826	67141
140	14899	66891
141	14969	66622
142	15040	66366
143	15113	66121
144	15170	65810
145	15233	65523
146	15313	65316
147	15365	64991
148	15408	64634
149	15469	64353
150	15528	64066
151	15586	63779
152	15640	63480
153	15702	63216
154	15755	62922
155	15804	62610
156	15862	62339
157	15919	62066
158	15993	61860
159	16042	61561
160	16102	61309
161	16162	61058
162	16216	60785
163	16272	60525
164	16320	60237
165	16389	60029
166	16438	59748
167	16494	59497
168	16549	59245
169	16597	58969
170	16642	58685
171	16688	58410
172	16736	58143
173	16784	57875
174	16826	57593
175	16873	57331
176	16914	57050
177	16970	56823
178	17018	56570
179	17058	56292
180	17101	56030
181	17149	55782
182	17199	55546
183	17249	55309
184	17296	55067
185	17337	54809
186	17378	54553
187	17429	54327
188	17479	54103
189	17528	53875
190	17576	53648
191	17627	53433
192	17673	53203
193	17720	52979
194	17759	52732
195	17803	52501
196	17842	52260
197	17885	52030
198	17926	51798
199	17968	51568
200	18008	51336
201	18046	51103
202	18092	50889
203	18136	50674
204	18177	50453
205	18211	50215
206	18246	49979
207	18286	49761
208	18332	49559
209	18375	49352
210	18418	49145
211	18466	48954
212	18514	48762
213	18561	48571
214	18609	48385
215	18669	48228
216	18723	48058
217	18774	47882
218	18830	47720
219	18879	47542
220	18944	47403
221	18992	47225
222	19039	47043
223	19078	46843
224	19119	46651
225	19170	46484
226	19207	46284
227	19254	46110
228	19296	45923
229	19341	45748
230	19384	45567
231	19418	45365
232	19459	45182
233	19496	44991
234	19536	44808
235	19576	44627
236	19614	44442
237	19653	44260
238	19685	44064
239	19724	43886
240	19767	43717
241	19806	43542
242	19841	43358
243	19877	43176
244	19913	42996
245	19948	42816
246	19984	42639
247	20020	42463
248	20061	42298
249	20099	42128
250	20144	41974
251	20193	41828
252	20237	41675
253	20280	41519
254	20329	41376
255	20372	41223
256	20417	41073
257	20477	40955
258	20527	40817
259	20589	40704
260	20651	40590
261	20709	40471
262	20766	40348
263	20812	40206
264	20873	40093
265	20915	39943
266	20962	39805
267	21008	39665
268	21054	39526
269	21107	39399
270	21152	39260
271	21191	39110
272	21224	38950
273	21278	38828
274	21320	38686
275	21365	38549
276	21408	38412
277	21447	38266
278	21501	38147
279	21548	38017
280	21588	37875
281	21635	37746
282	21673	37603
283	21722	37478
284	21777	37365
285	21831	37250
286	21877	37122
287	21923	36996
288	21962	36858
289	22002	36720
290	22034	36573
291	22069	36429
292	22118	36311
293	22158	36177
294	22197	36042
295	22236	35908
296	22277	35778
297	22324	35659
298	22374	35544
299	22416	35418
300	22456	35289
301	22498	35163
302	22538	35035
303	22584	34917
304	22627	34793
305	22674	34679
306	22716	34555
307	22760	34436
308	22816	34335
309	22883	34251
310	22941	34154
311	22991	34045
312	23042	33938
313	23087	33821
314	23134	33710
315	23187	33607
316	23241	33505
317	23282	33385
318	23331	33278
319	23377	33167
320	23430	33065
321	23480	32959
322	23525	32848
323	23583	32754
324	23642	32662
325	23691	32558
326	23736	32447
327	23784	32340
328	23825	32226
329	23868	32113
330	23912	32004
331	23949	31884
332	23991	31772
333	24032	31659
334	24075	31550
335	24113	31433
336	24152	31319
337	24194	31209
338	24230	31092
339	24278	30990
340	24324	30887
341	24371	30784
342	24419	30683
343	24465	30581
344	24522	30493
345	24583	30410
346	24648	30330
347	24715	30255
348	24786	30184
349	24840	30092
350	24918	30030
351	24993	29963
352	25053	29879
353	25105	29786
354	25161	29697
355	25216	29607
356	25266	29513
357	25309	29410
358	25358	29313
359	25421	29235
360	25472	29142
361	25529	29055
362	25586	28969
363	25636	28876
364	25702	28800
365	25767	28724
366	25817	28631
367	25878	28550
368	25929	28459
369	25979	28367
370	26042	28288
371	26095	28200
372	26148	28111
373	26204	28026
374	26273	27954
375	26324	27864
376	26380	27780
377	26432	27691
378	26475	27593
379	27302	28308
380	27780	28655
381	27929	28661
382	28044	28630
383	28143	28583
384	28235	28529
385	28309	28456
386	28378	28378
387	28453	28306
388	28573	28279
389	28650	28209
390	28705	28118
391	28761	28027
392	28823	27943
393	28915	27887
394	28997	27822
395	29088	27766
396	29151	27683
397	29211	27596
398	29274	27513
399	29345	27438
400	29402	27349
401	29457	27259
402	29510	27167
403	29564	27076
404	29612	26980
405	29658	26882
406	29710	26790
407	29756	26693
408	29823	26615
409	29899	26544
410	29952	26454
411	30014	26371
412	30066	26281
413	30147	26215
414	30196	26122
415	30244	26027
416	30298	25939
417	30360	25857
418	30416	25770
419	30478	25689
420	30560	25624
421	30619	25540
422	30678	25456
423	30741	25375
424	30790	25284
425	30831	25186
426	30873	25088
427	30915	24992
428	30961	24898
429	31002	24801
430	31043	24705
431	31092	24615
432	31136	24520
433	31177	24424
434	31224	24333
435	31269	24241
436	31325	24157
437	31383	24075
438	31433	23986
439	31478	23894
440	31522	23802
441	31568	23712
442	31608	23617
443	32180	23917
444	32470	24006
445	32555	23942
446	32605	23852
447	32670	23773
448	32736	23695
449	32801	23617
450	33040	23663
451	33237	23678
452	33361	23639
453	33451	23578
454	33523	23503
455	33587	23422
456	33660	23348
457	33719	23265
458	33772	23176
459	33832	23094
460	33928	23035
461	33982	22949
462	34039	22864
463	34100	22782
464	34156	22697
465	34235	22627
466	34312	22556
467	34466	22536
468	34540	22462
469	34625	22395
470	34688	22315
471	34748	22233
472	34811	22152
473	34870	22069
474	34924	21984
475	34977	21897
476	35128	21872
477	35408	21926
478	35488	21856
479	35558	21779
480	35636	21708
481	35716	21637
482	35807	21573
483	35873	21494
484	36037	21473
485	36110	21398
486	36187	21326
487	36263	21252
488	36332	21175
489	36405	21100
490	36460	21014
491	36525	20935
492	36586	20853
493	36679	20790
494	36885	20789
495	37032	20756
496	37176	20720
497	37296	20670
498	37407	20615
499	37505	20552
500	37589	20482
501	37676	20414
502	37757	20342
503	37807	20254
504	37855	20164
505	37908	20077
506	37953	19987
507	38026	19911
508	38079	19825
509	38133	19739
510	38179	19650
511	38225	19560
512	38268	19469
513	38312	19379
514	38352	19287
515	38393	19196
516	38436	19106
517	38476	19015
518	38528	18930
519	38575	18842
520	38619	18754
521	38671	18669
522	38721	18583
523	38763	18494
524	38802	18403
525	38846	18315
526	38890	18227
527	38941	18143
528	38994	18059
529	39044	17975
530	39114	17899
531	39170	17818
532	39224	17735
533	39270	17649
534	39327	17568
535	39381	17486
536	39432	17403
537	39480	17318
538	39528	17234
539	39582	17152
540	39626	17066
541	39675	16983
542	39726	16900
543	39769	16814
544	39816	16730
545	39861	16645
546	39911	16562
547	39960	16480
548	40014	16399
549	40065	16317
550	40115	16235
551	40158	16150
552	40204	16067
553	40259	15987
554	40305	15904
555	40359	15824
556	40397	15738
557	40436	15652
558	40479	15569
559	40517	15483
560	40554	15397
561	40594	15313
562	40632	15228
563	40680	15146
564	40730	15066
565	40784	14988
566	40836	14908
567	40900	14833
568	40952	14754
569	41003	14674
570	41064	14599
571	41140	14528
572	41193	14449
573	41243	14370
574	41286	14288
575	41333	14208
576	41384	14129
577	41440	14052
578	41495	13975
579	41550	13897
580	41595	13817
581	41640	13737
582	41675	13653
583	41715	13571
584	41755	13490
585	41791	13407
586	41829	13325
587	41868	13244
588	41906	13162
589	41946	13081
590	41984	13000
591	42023	12919
592	42062	12838
593	42101	12757
594	42145	12679
595	42191	12600
596	42236	12522
597	42282	12444
598	42325	12365
599	42373	12288
600	42416	12209
601	42461	12131
602	42504	12053
603	42540	11973
604	42578	11893
605	42619	11815
606	42654	11735
607	42687	11654
608	42727	11576
609	42763	11497
610	42794	11416
611	42831	11337
612	42862	11257
613	42896	11178
614	42935	11100
615	42969	11021
616	43002	10942
617	43045	10865
618	43086	10788
619	43120	10710
620	43154	10632
621	43193	10555
622	43236	10479
623	43283	10404
624	43326	10328
625	43366	10252
626	43412	10178
627	43462	10104
628	43512	10030
629	43562	9957
630	43627	9887
631	43683	9814
632	43729	9740
633	43784	9668
634	43838	9596
635	43893	9524
636	43946	9451
637	43998	9379
638	44044	9305
639	44129	9239
640	44181	9167
641	44232	9094
642	44293	9023
643	44341	8950
644	44387	8877
645	44434	8804
646	44489	8732
647	44542	8660
648	44582	8586
649	44654	8518
650	44701	8445
651	44754	8374
652	44803	8302
653	44848	8229
654	44888	8155
655	44925	8081
656	44974	8009
657	45022	7937
658	45087	7868
659	45180	7803
660	45240	7734
661	45310	7665
662	45385	7598
663	45458	7530
664	45520	7461
665	45572	7390
666	45624	7319
667	45690	7250
668	45751	7180
669	45814	7111
670	45870	7041
671	45913	6969
672	45966	6898
673	46016	6827
674	46072	6757
675	46126	6686
676	46172	6615
677	46227	6545
678	46293	6477
679	46351	6407
680	46405	6337
681	46472	6268
682	46530	6199
683	46589	6130
684	46639	6059
685	46698	5990
686	46760	5921
687	46807	5850
688	46855	5780
689	46904	5710
690	46951	5639
691	47001	5569
692	47048	5499
693	47091	5428
694	47136	5357
695	47179	5287
696	47221	5216
697	47266	5146
698	47301	5075
699	47346	5005
700	47392	4935
701	47431	4864
702	47490	4796
703	47563	4729
704	47621	4660
705	47669	4591
706	47727	4522
707	47779	4454
708	47823	4384
709	47870	4315
710	47911	4245
711	47955	4175
712	48001	4106
713	48046	4037
714	48086	3967
715	48129	3898
716	48176	3829
717	48224	3761
718	48270	3692
719	48311	3623
720	48357	3554
721	48402	3486
722	48447	3417
723	48491	3348
724	48543	3280
725	48594	3212
726	48643	3144
727	48685	3076
728	48731	3008
729	48789	2940
730	48846	2873
731	48898	2805
732	48964	2738
733	49030	2671
734	49103	2605
735	49159	2538
736	49223	2471
737	49287	2404
738	49344	2337
739	49399	2269
740	49453	2202
741	49520	2135
742	49610	2069
743	49730	2005
744	49803	1938
745	49885	1872
746	49971	1806
747	50045	1739
748	50113	1672
749	50172	1605
750	50230	1538
751	50284	1471
752	50346	1404
753	50401	1336
754	50463	1269
755	50523	1202
756	50580	1135
757	50644	1069
758	50705	1002
759	50785	935
760	50865	868
761	50906	801
762	50958	734
763	51009	667
764	51065	600
765	51113	533
766	51159	466
767	51209	400
768	51285	333
769	51332	266
770	51378	199
771	51433	133
772	51491	66
773	51548	0
