iter	Logloss
226	0.1516505546
227	0.1515383637
228	0.1514307117
229	0.151279819
230	0.151180036
231	0.151117157
232	0.1509208989
233	0.1506712311
234	0.150561469
235	0.1502555203
236	0.1500830264
237	0.1498548439
238	0.1497773913
239	0.1496198559
240	0.1494030422
241	0.1492449769
242	0.1490846411
243	0.1489396569
244	0.1487906654
245	0.1487165379
246	0.1486311263
247	0.1485551445
248	0.1484082154
249	0.1483044704
250	0.1481852859
251	0.1480479516
252	0.1479126819
253	0.1477911393
254	0.1475757467
255	0.1474326778
256	0.1472664283
257	0.1471835324
258	0.1471019156
259	0.1469622699
260	0.1468878229
261	0.146719282
262	0.1466562499
263	0.1465864359
264	0.1464077474
265	0.1463156075
266	0.1462427219
267	0.1461286054
268	0.1460392362
269	0.1459088449
270	0.1457521583
271	0.1456718235
272	0.145606121
273	0.1454210832
274	0.1453361108
275	0.1452243622
276	0.1450501573
277	0.144882298
278	0.1447289744
279	0.1445946783
280	0.1445395368
281	0.1443898518
282	0.1443516004
283	0.1441748368
284	0.1440119406
285	0.1438879469
286	0.1437422165
287	0.1436503234
288	0.1435734944
289	0.1434599367
290	0.1433854726
291	0.1433363154
292	0.1431418723
293	0.1429529876
294	0.1428326698
295	0.1427076133
296	0.1425603341
297	0.1424916112
298	0.1423585132
299	0.1422475546
300	0.1421655283
301	0.1419432558
302	0.1418657667
303	0.1417168287
304	0.1416341967
305	0.1415075029
306	0.1413783647
307	0.141263725
308	0.1411295285
309	0.1409152329
310	0.140817351
311	0.1407197991
312	0.1405967485
313	0.1405207741
314	0.1403562845
315	0.139987806
316	0.1398620464
317	0.1397884823
318	0.1397242558
319	0.1395954899
320	0.1394802995
321	0.1393731082
322	0.1393066246
323	0.1391764013
324	0.138994563
325	0.1388673883
326	0.1387748196
327	0.1386144072
328	0.1385179137
329	0.1384184502
330	0.1382564764
331	0.1381709949
332	0.1380740955
333	0.1379571719
334	0.1378361139
335	0.1377352822
336	0.1376083179
337	0.1374741608
338	0.1373948174
339	0.1372165532
340	0.1371161459
341	0.1369903588
342	0.1368656739
343	0.1367806874
344	0.1366952319
345	0.1366285194
346	0.1364981245
347	0.1363084438
348	0.1361284086
349	0.1360544193
350	0.1359549232
351	0.1358132716
352	0.1356803794
353	0.1356304634
354	0.1354486756
355	0.1353423665
356	0.1352223653
357	0.1351293358
358	0.1350277052
359	0.1348681534
360	0.1347815556
361	0.1346588997
362	0.1345296225
363	0.1343814626
364	0.1342005511
365	0.1340612956
366	0.1340053782
367	0.1338775265
368	0.1337398421
369	0.1336425236
370	0.1335343
371	0.1334344174
372	0.1333384128
373	0.1332687735
374	0.1331446661
375	0.1330155205
376	0.1327120147
377	0.1325594862
378	0.1324815535
379	0.1323814539
380	0.1323212615
381	0.1322438491
382	0.1321209798
383	0.1319883589
384	0.1318638063
385	0.1317339085
386	0.1316280193
387	0.1315003445
388	0.1314152539
389	0.1313272693
390	0.1312490802
391	0.1310981794
392	0.1310139881
393	0.1309057898
394	0.1308225275
395	0.1307051543
396	0.1306534159
397	0.1305505085
398	0.1304086294
399	0.1302725118
400	0.1301850942
401	0.1300927292
402	0.1299282671
403	0.129829086
404	0.1297802335
405	0.1297132446
406	0.1295982927
407	0.1295265033
408	0.1294282379
409	0.1293675588
410	0.1292790309
411	0.1291509034
412	0.1290743575
413	0.128950421
414	0.128879146
415	0.1288357627
416	0.1287738655
417	0.1286743262
418	0.1285709164
419	0.1285138908
420	0.1284503555
421	0.1283081844
422	0.128227753
423	0.1281595645
424	0.128007858
425	0.1279096625
426	0.1278477422
427	0.127759606
428	0.1276127118
429	0.1275374472
430	0.1274484987
431	0.1273446994
432	0.1272387485
433	0.1271674861
434	0.1270478401
435	0.1269866199
436	0.1268774279
437	0.1267774873
438	0.1266890664
439	0.1265977225
440	0.1264741219
441	0.1263465408
442	0.1262854164
443	0.1261988662
444	0.1260594546
445	0.1259822049
446	0.1258877069
447	0.125779478
448	0.1256775776
449	0.125574801
450	0.1254089372
451	0.1253023888
452	0.1251841972
453	0.1250811181
454	0.124996559
455	0.1248812853
456	0.1248148775
457	0.1245832777
458	0.1245087898
459	0.1243067556
460	0.1242091256
461	0.1241076823
462	0.1240373756
463	0.1239428129
464	0.1238548937
465	0.1237645219
466	0.1235820103
467	0.1234776602
468	0.1233938837
469	0.1232543517
470	0.1231983131
471	0.1230915202
472	0.1229957958
473	0.1228807838
474	0.1227579703
475	0.1226123752
476	0.1225025693
477	0.1223800449
478	0.1222584725
479	0.1221592893
480	0.122051606
481	0.1219378915
482	0.1218275884
483	0.1217592186
484	0.1216545393
485	0.121549015
486	0.1214786905
487	0.1213815979
488	0.1213052861
489	0.1212197972
490	0.1211756448
491	0.1210516168
492	0.1209890432
493	0.120843802
494	0.1207386121
495	0.1205719761
496	0.1204631148
497	0.1203856771
498	0.1202399051
499	0.1201145751
500	0.1200014619
501	0.1198964103
502	0.1197880143
503	0.1197402409
504	0.1196920975
505	0.1196044956
506	0.1194938439
507	0.1193745391
508	0.1192567905
509	0.1191604842
510	0.1189987608
511	0.1189140984
512	0.1187920214
513	0.1187212235
514	0.1185996474
515	0.1184529219
516	0.1183180833
517	0.1182100655
518	0.1180533521
519	0.117953856
520	0.1178213287
521	0.1176550807
522	0.1175998849
523	0.1174878189
524	0.1174128479
525	0.1172912896
526	0.1171789858
527	0.117057131
528	0.1169940238
529	0.1168656526
530	0.1167375861
531	0.1165916492
532	0.1164335311
533	0.1163400898
534	0.1162303181
535	0.1160786109
536	0.115937927
537	0.1158325684
538	0.1157015566
539	0.1155947941
540	0.1154883557
541	0.1153452006
542	0.115232291
543	0.1151365756
544	0.1150559458
545	0.1149595109
546	0.1148383154
547	0.1147247228
548	0.1145902818
549	0.1144778814
550	0.1143621811
551	0.1142746959
552	0.1141857749
553	0.1140685414
554	0.1139634444
555	0.1138737297
556	0.1138067117
557	0.1137172756
558	0.1136182923
559	0.1135677036
560	0.1134979715
561	0.1133521438
562	0.1132841693
563	0.1132165018
564	0.11309891
565	0.1130232159
566	0.1129199747
567	0.1128254194
568	0.1127254439
569	0.1126158877
570	0.1125668368
571	0.1124789139
572	0.1123986876
573	0.1123129646
574	0.1122205274
575	0.1121469596
576	0.1120853945
577	0.1119986637
578	0.1118999755
579	0.1118159499
580	0.111709889
581	0.1116299526
582	0.1115671665
583	0.1114568017
584	0.1113836574
585	0.1113297638
586	0.1112734785
587	0.1111691195
588	0.1110938252
589	0.1110085466
590	0.1109346666
591	0.1108314381
592	0.1107053797
593	0.1106321493
594	0.1105488915
595	0.1104110607
596	0.1102653742
597	0.1100879707
598	0.1099695212
599	0.1098457884
600	0.1097387405
601	0.1096029276
602	0.1094767116
603	0.1094087691
604	0.1093428912
605	0.1092268461
606	0.1091259572
607	0.1090416552
608	0.108929471
609	0.1088660739
610	0.1087799072
611	0.1087377027
612	0.1086474075
613	0.1085311372
614	0.1084217824
615	0.1083616889
616	0.1082497462
617	0.1081363358
618	0.1079919834
619	0.1079217585
620	0.1078490795
621	0.1077194143
622	0.1076479579
623	0.1075252864
624	0.1074014851
625	0.107322688
626	0.1072228537
627	0.1071676743
628	0.10710958
629	0.1070319186
630	0.1068600348
631	0.1067264968
632	0.1065942289
633	0.10648607
634	0.1064158317
635	0.106260928
636	0.1061907476
637	0.1060794992
638	0.1059907981
639	0.1059255995
640	0.1057947549
641	0.1056811713
642	0.1054914505
643	0.1054180581
644	0.1053307728
645	0.105235293
646	0.1051077452
647	0.1050052421
648	0.1049314921
649	0.1048295806
650	0.1047220065
651	0.1046077555
652	0.1044958872
653	0.1044137494
654	0.1043320516
655	0.1042512612
656	0.1041528495
657	0.1040244552
658	0.1039140057
659	0.1037725703
660	0.1036941806
661	0.1036101454
662	0.1035103178
663	0.1033791558
664	0.103299038
665	0.1032249484
666	0.1031079379
667	0.103005897
668	0.1029147523
669	0.1028453724
670	0.1027461669
671	0.1026836163
672	0.1026033172
673	0.102471939
674	0.1023939877
675	0.1023118923
676	0.1022654708
677	0.1021597562
678	0.1020280436
679	0.1019247415
680	0.101816578
681	0.1017401013
682	0.1016669897
683	0.1016140154
684	0.1015283028
685	0.1014395787
686	0.1013293083
687	0.1012656021
688	0.1011537635
689	0.1010425626
690	0.1009292733
691	0.1007986635
692	0.1006997731
693	0.1005775445
694	0.1004927244
695	0.1004020977
696	0.1003279517
697	0.1002198128
698	0.1001670213
699	0.1000751319
700	0.09997172943
701	0.09988803612
702	0.09980684964
703	0.09970640369
704	0.09962212101
705	0.09958151662
706	0.09950951395
707	0.09940863322
708	0.09932287305
709	0.09920340173
710	0.09913181749
711	0.09904532748
712	0.09895362239
713	0.09891298381
714	0.09886285448
715	0.09882385765
716	0.0987620124
717	0.09871330482
718	0.09861535456
719	0.09853325617
720	0.09844119805
721	0.09834728638
722	0.09827869875
723	0.09819733762
724	0.09810970604
725	0.09802222014
726	0.09796769102
727	0.09792810705
728	0.09787473808
729	0.09779246206
730	0.0976937894
731	0.09761537657
732	0.09746406625
733	0.09737449863
734	0.09726597327
735	0.09720065426
736	0.09705713202
737	0.09699403966
738	0.09693419289
739	0.09684162568
740	0.09673374022
741	0.09665175628
742	0.09654507556
743	0.09647758119
744	0.09643410505
745	0.09636390987
746	0.09627298291
747	0.09619053298
748	0.09610747882
749	0.09606663364
750	0.09601156123
751	0.09593531485
752	0.09585270513
753	0.09581507209
754	0.09576316797
755	0.09570984062
756	0.09560331003
757	0.09554792994
758	0.09545102462
759	0.09539265535
760	0.09524910412
761	0.0952024478
762	0.09508775159
763	0.09500574684
764	0.09485376169
765	0.09480768581
766	0.09472931014
767	0.09466175408
768	0.09459143478
769	0.09449547185
770	0.09442094451
771	0.09433312491
772	0.09424109429
773	0.09415553552
